username,date,list_rank,number_questions
uid5,24/05/2022,"[(1, 5), (2, 5), (4, 5), (10, 5), (3, 5), (6, 5), (8, 5), (5, 5), (7, 5), (9, 5)]",39
uid6,25/05/2022,"[(10, 5), (7, 5), (6, 5), (4, 5), (2, 5), (5, 5), (8, 4), (9, 4), (1, 4), (3, 4)]",11
uid7,26/05/2022,"[(4, 5), (10, 5), (9, 5), (7, 5), (6, 5), (2, 5), (3, 5), (1, 5), (8, 4), (5, 4)]",13
uid8,27/05/2022,"[(6, 5), (8, 5), (10, 5), (9, 5), (5, 5), (4, 5), (7, 4), (2, 4), (3, 4), (1, 4)]",14
uid9,28/05/2022,"[(5, 5), (2, 5), (6, 5), (7, 4), (10, 4), (8, 4), (4, 4), (9, 3), (3, 3), (1, 3)]",10
uid11,29/05/2022,"[(7, 5), (5, 5), (2, 5), (6, 4), (8, 4), (4, 4), (1, 4), (10, 3), (9, 3), (3, 3)]",8
uid12,30/05/2022,"[(2, 5), (6, 5), (5, 5), (3, 5), (8, 4), (10, 4), (4, 4), (7, 3), (1, 3), (9, 3)]",15
uid13,31/05/2022,"[(6, 5), (8, 5), (4, 5), (2, 5), (10, 4), (9, 4), (5, 4), (1, 4), (7, 3), (3, 3)]",8
uid14,01/06/2022,"[(6, 5), (10, 5), (8, 5), (9, 5), (4, 5), (2, 5), (5, 5), (7, 4), (3, 4), (1, 4)]",14
uid15,02/06/2022,"[(10, 5), (8, 5), (6, 5), (4, 5), (2, 5), (9, 5), (5, 4), (3, 4), (1, 4), (7, 4)]",13
uid16,03/06/2022,"[(9, 5), (4, 5), (6, 5), (1, 5), (2, 5), (8, 4), (10, 4), (5, 4), (7, 4), (3, 2)]",9
uid17,04/06/2022,"[(5, 5), (2, 5), (7, 5), (10, 5), (9, 5), (6, 5), (8, 4), (4, 4), (3, 4), (1, 4)]",17
uid18,05/06/2022,"[(5, 5), (8, 5), (6, 5), (2, 5), (9, 5), (1, 5), (10, 4), (7, 4), (4, 4), (3, 4)]",13
uid19,06/06/2022,"[(3, 5), (8, 5), (6, 5), (2, 5), (4, 5), (7, 4), (5, 4), (9, 4), (10, 4), (1, 4)]",16
uid22,07/06/2022,"[(9, 5), (6, 5), (4, 5), (5, 5), (10, 5), (2, 5), (1, 5), (8, 5), (7, 4), (3, 4)]",17
uid23,08/06/2022,"[(4, 5), (6, 5), (10, 5), (8, 5), (7, 5), (2, 5), (5, 5), (1, 5), (3, 4), (9, 4)]",18
uid25,09/06/2022,"[(8, 5), (6, 5), (4, 5), (2, 4), (10, 4), (9, 4), (7, 4), (5, 4), (1, 3), (3, 3)]",10
uid26,10/06/2022,"[(6, 5), (10, 5), (8, 5), (4, 5), (5, 4), (1, 4), (7, 4), (2, 4), (9, 4), (3, 3)]",15
uid27,11/06/2022,"[(2, 5), (5, 5), (6, 5), (3, 4), (7, 4), (10, 4), (4, 4), (8, 3), (9, 3), (1, 3)]",12
uid28,12/06/2022,"[(6, 5), (8, 5), (4, 5), (2, 5), (9, 4), (10, 4), (5, 4), (7, 4), (1, 4), (3, 3)]",10
uid29,13/06/2022,"[(4, 5), (7, 5), (10, 5), (2, 4), (5, 4), (9, 4), (8, 4), (1, 4), (6, 3), (3, 3)]",13
uid30,14/06/2022,"[(8, 5), (6, 5), (4, 5), (10, 5), (2, 5), (5, 5), (7, 4), (9, 4), (1, 4), (3, 4)]",12
uid33,15/06/2022,"[(5, 5), (8, 5), (2, 5), (10, 5), (6, 5), (3, 5), (7, 4), (9, 4), (4, 4), (1, 4)]",14
uid35,16/06/2022,"[(10, 5), (2, 5), (8, 5), (7, 5), (6, 5), (4, 5), (5, 5), (9, 4), (3, 4), (1, 4)]",12
uid37,17/06/2022,"[(8, 5), (3, 5), (2, 5), (4, 5), (10, 4), (1, 4), (7, 4), (5, 4), (6, 4), (9, 4)]",14
uid39,18/06/2022,"[(8, 5), (6, 5), (4, 4), (5, 4), (1, 4), (2, 4), (9, 4), (10, 4), (3, 3), (7, 3)]",16
uid40,19/06/2022,"[(6, 5), (8, 5), (2, 5), (10, 5), (4, 5), (1, 5), (5, 4), (9, 4), (7, 4), (3, 3)]",13
